Designator,Mid X,Mid Y,Rotation,Layer
D42,215.855,75.884,270.0,bottom
D43,220.63,56.834,270.0,bottom
D44,229.98,37.709,270.0,bottom
D46,208.055,89.434,270.0,bottom
D47,235.505,75.884,270.0,bottom
D48,240.03,56.834,270.0,bottom
D49,249.13,37.709,270.0,bottom
D5,56.255,18.684,270.0,bottom
D50,246.93,18.659,270.0,bottom
D51,227.08,89.434,270.0,bottom
D52,253.88,75.884,270.0,bottom
D53,258.88,56.759,270.0,bottom
D54,268.33,37.759,270.0,bottom
D55,270.905,18.684,270.0,bottom
D56,245.755,89.434,270.0,bottom
D57,272.805,75.859,270.0,bottom
D58,277.78,56.759,270.0,bottom
D6,55.555,89.384,270.0,bottom
D60,294.63,18.684,270.0,bottom
D61,264.73,89.459,270.0,bottom
D62,292.555,75.084,270.0,bottom
D66,288.055,87.359,270.0,bottom
D67,295.655,75.084,270.0,bottom
D68,300.555,58.984,0.0,bottom
D7,82.48,75.809,270.0,bottom
D70,305.055,20.784,0.0,bottom
D8,86.78,56.659,270.0,bottom
D9,96.63,37.559,270.0,bottom
FB1,30.955,22.684,45.0,bottom
J1,27.65,98.084,0.0,bottom
J2,45.855,32.309,0.0,bottom
J3,18.98,73.459,0.0,top
J7,33.655,55.904,180.0,bottom
R1,35.855,14.484,0.0,bottom
R11,48.455,43.084,0.0,bottom
R12,48.455,41.084,0.0,bottom
R13,40.055,65.484,0.0,bottom
R14,40.555,63.484,0.0,bottom
R16,41.255,61.484,0.0,bottom
R17,14.855,78.784,180.0,bottom
R18,14.855,77.284,180.0,bottom
R2,35.855,11.184,0.0,bottom
R20,42.155,59.484,0.0,bottom
R21,42.555,57.484,0.0,bottom
R22,267.655,7.284,180.0,bottom
R3,52.455,44.384,0.0,bottom
R4,35.855,9.184,0.0,bottom
R5,36.855,19.184,0.0,bottom
R6,36.855,17.184,0.0,bottom
R7,43.855,47.184,0.0,bottom
R8,43.855,45.184,0.0,bottom
R9,267.655,8.784,180.0,bottom
S1,44.98,87.959,180.0,top
S10,71.13,11.909,0.0,top
S11,82.931,88.011,180.0,top
S12,92.583,68.961,0.0,top
S13,97.282,49.911,0.0,top
S14,106.807,30.734,0.0,top
S15,94.99,11.869,0.0,top
S16,102.108,88.011,180.0,top
S17,111.633,68.961,0.0,top
S18,116.332,49.911,0.0,top
S19,125.925,30.834,0.0,top
S2,49.784,68.961,0.0,top
S20,294.955,30.884,0.0,top
S21,121.158,88.011,180.0,top
S22,130.683,68.961,0.0,top
S23,135.382,49.911,0.0,top
S24,144.907,30.861,0.0,top
S26,140.208,88.011,180.0,top
S27,149.733,68.961,0.0,top
S28,154.432,49.911,0.0,top
S29,163.955,30.859,0.0,top
S3,52.07,49.911,0.0,top
S30,166.37,11.811,0.0,top
S31,159.258,88.011,180.0,top
S32,168.783,68.961,0.0,top
S33,173.482,49.911,0.0,top
S34,183.007,30.861,0.0,top
S36,178.308,88.011,180.0,top
S37,187.833,68.961,0.0,top
S38,192.532,49.911,0.0,top
S39,202.057,30.861,0.0,top
S4,56.769,30.861,0.0,top
S41,197.355,88.034,180.0,top
S42,206.88,69.034,0.0,top
S43,211.6,49.984,0.0,top
S44,221.105,30.859,0.0,top
S46,216.43,88.034,180.0,top
S47,225.925,69.009,0.0,top
S48,230.63,49.934,0.0,top
S49,240.175,30.909,0.0,top
S5,47.28,11.909,0.0,top
S50,237.8,11.859,0.0,top
S51,235.455,88.009,180.0,top
S52,244.94,69.004,0.0,top
S53,249.675,49.934,0.0,top
S54,259.23,30.909,0.0,top
S55,261.63,11.859,0.0,top
S56,254.51,87.984,180.0,top
S57,264.055,68.984,0.0,top
S58,268.755,49.909,0.0,top
S6,64.008,88.011,180.0,top
S60,285.405,11.909,0.0,top
S61,273.555,88.009,180.0,top
S62,283.08,68.959,0.0,top
S66,302.133,88.011,180.0,top
S67,306.78,68.959,0.0,top
S68,299.79,49.984,0.0,top
S7,73.533,68.961,0.0,top
S70,309.255,11.909,0.0,top
S8,78.232,49.911,0.0,top
S9,87.757,30.734,0.0,top
U1,28.955,35.184,135.0,bottom
U2,14.855,90.784,180.0,bottom
Y2,40.455,25.884,225.0,bottom
